Timestamp;Your X (Twitter) Handle;Your Wallet Address (Solana);Link to Your Meme Post (X link);IsValid?;Meme Category (optional);Upload Meme File (optional)
21/09/2025 15:28;@patienceEz42225;DpqXYZrTe2SRYTHDMos8ej18h6yr4YDcDXKFmA9AX6AJ;https://x.com/PatienceEz42225/status/1967639393092653281?t=XAU8T0BdPgyvVfYckano0A&s=19;No, but give for effort 1;Funny 😂;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/ce3c8d9e-107e-4b84-a3f9-a3fa63c9ee55.jpg
21/09/2025 15:06;@FoxiMaxi2008;9rgxqRtik6K8oqxGzLN8yL232DYv4MiEc6wqgTdB3kMJ;https://x.com/FoxiMaxi2008/status/1966782406402130163;Valid and made vids 7;Sarcastic 😏;
21/09/2025 06:19;糖糖;6umnFg3dRF5xNhDz9kXkSPf6vpRBzkB5psU1TTzkMHRT;https://x.com/ivytangtang9/status/1968554801748496825?t=_IOfsKtc_dhewtDvB-1HgQ&s=19;No, but nice post 3;Culture & Trends 🌍;
21/09/2025 03:33;@the_working;9SeXCEZCpMWwRiH82d5dM8t9eGRuye1hvUdv3WJiN7NV;https://x.com/the_working?s=21;NO.;Funny 😂;
21/09/2025 02:43;@Baron3199;29PmvGkU1ETp3NT3pvFGiFUyBr7tS4iRsCuq3JVC1esD;https://x.com/Baron3199/status/1969577969070059714?t=InQREjGfW_iQvAok-AMjNw&s=19;3 for the hold;Sarcastic 😏;
21/09/2025 02:26;@Ningsl220963;FkdRL9CwhaM9e6MiEHejfZnq3fmQgxp1tQKwceqvfDdE;https://x.com/Ningsl220963/status/1969573509975396444?t=moE7J3IrpwBBBoG9-0aWOQ&s=19;Not  holding;Other;
21/09/2025 02:15;@zhi-an26190;CASqmSDbDeXsSvFbzpAEoUd1DcXiDuPEjahM181qTDfphttps://x.com/zhi_an26190/status/1969543277407060481?t=fq8hETcwB6WQCrwoGngFKw&s=19;https://x.com/zhi_an26190/status/1969543277407060481?t=fq8hETcwB6WQCrwoGngFKw&s=19;1;Funny 😂;
21/09/2025 01:45;@vetb9372xm96495;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;https://x.com/vetb9372xm96495/status/1969204262220562643?s=19;0.5;Funny 😂;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/64a552bf-d206-4a42-9dfa-3c8a5d392934.jpg
21/09/2025 01:38;@leonard_sh76377;DJJDsW1uKqPsoL5zXAGa8KHfsBAXzhfKhhsCuCxF36Dr;https://x.com/leonard_sh76377/status/1969540397069435154;JUST 1;Sarcastic 😏;
21/09/2025 01:30;@leonard_sh76377;DJJDsW1uKqPsoL5zXAGa8KHfsBAXzhfKhhsCuCxF36Dr;https://x.com/leonard_sh76377/status/1969543357023339006;No  but 1;Funny 😂;
21/09/2025 01:08;@gh697101;EZBHVhhQKpxxmQaqKYs8po9PckotcrPknxGWqkb4LHoq;https://x.com/gh697101/status/1969553240267030864?t=z4up89N1sszvYZBa_wauUg&s=19;give  2;Culture & Trends 🌍;
20/09/2025 17:20;@laixl2106;4tbU7ajo1y1vngX1s1afYEDDrkSuiv2As48GBfdVrhyo;https://x.com/HN13UB2GSv45866/status/1968781360262222216?s=05;no;Sarcastic 😏;
20/09/2025 16:53;Litapan6;5jcoynCUWsP6j2srppuc2y2M7RxvbPSSp4YseXDbwjo4;https://x.com/litapan6/status/1969429379127394579?s=46&t=MoGvP_4CBOUMLFzpWOVWsw;no;Community Story 📖;
20/09/2025 16:51;即将起飞;2czhaWihpT8iK4GPqgZs824Y6x1dCvGRVwDxh5aLySat;5jcoynCUWsP6j2srppuc2y2M7RxvbPSSp4YseXDbwjo4;no;Community Story 📖,Funny 😂;
20/09/2025 16:45;lixuan460771;7XrxuRjeX1s1LNgfunnRVQkabxZwceGjtkkwpegemL15;https://x.com/lixuan460771/status/1969427582350397812;no;Funny 😂;
20/09/2025 16:17;@vetb9372xm96495;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;https://x.com/vetb9372xm96495/status/1968706328127275053?s=19;no;Funny 😂;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/8d27c881-e4f1-43ac-a566-dee3ccf0a611.jpg
20/09/2025 16:17;@vetb9372xm96495;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;https://x.com/vetb9372xm96495/status/1968706328127275053?s=19;no;Funny 😂;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/8d27c881-e4f1-43ac-a566-dee3ccf0a611.jpg
20/09/2025 16:14;@vetb9372xm96495;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;https://x.com/vetb9372xm96495/status/1968910504115519801?s=19;no;Community Story 📖;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/0d426772-2b59-4689-ad4b-5c683c013520.jpg
20/09/2025 16:14;@vetb9372xm96495;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;https://x.com/vetb9372xm96495/status/1968910504115519801?s=19;no;Community Story 📖;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/0d426772-2b59-4689-ad4b-5c683c013520.jpg
20/09/2025 16:11;@vetb9372xm96495;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;https://x.com/vetb9372xm96495/status/1969204262220562643?s=19;just 1;Funny 😂;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/94a6660f-b3b0-4036-ab11-26a32d70b09f.jpg
20/09/2025 13:45;https://x.com/zaiyad2770;32VrJuhdcjJt7QM6GexG4ucbv8WSQ7eKFxdZzcrL5qEX;https://x.com/zaiyad2770/status/1955565421291278736;give 3;;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/5ae1bf12-d9ca-427e-b9d7-b1554644f1c7.jpeg
20/09/2025 10:10;Mastergemu ;4EFWAUX7CEXJ5XfiPBKdDGLtMjn48Ew77MfKdSpwPonB;https://x.com/mastergemu/status/1966739734220148995?s=46;give 5;Funny 😂,Community Story 📖;
20/09/2025 04:00;Alpacawst;8jDNkrB5xwERJSYZFdxMNFf8etYEpbnop4dL8tNiU5Mp;https://x.com/alpacawst/status/1966843785780015572?s=46;give 5;Other;
19/09/2025 21:46;https://x.com/dibond_;XChvdhC1CHiuoVfreiZHkEzJHMyWV8TR1PZ3VXbaWRJ;https://x.com/dibond_/status/1966762517096517635;give 3;Culture & Trends 🌍;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/2fd502b0-a616-48df-8fb5-7eee9a29c717.jpeg
19/09/2025 21:22;OliviaJonesSOL;Yk ;https://x.com/oliviajonessol/status/1967208056347033642?s=46;giive 4;Funny 😂,Culture & Trends 🌍;
19/09/2025 21:22;Flame_dyor;Yk ;https://x.com/flame_dyor/status/1966660222560203163?s=46;giive 4;Funny 😂;
19/09/2025 21:19;KineticSinergy ;Youknow;https://x.com/kineticsinergy/status/1966673032371413459?s=46;giive 4;Funny 😂;
19/09/2025 19:54;@penjaminiv  /  @pmmr777;9z1CdzDNCeo6ZqK9baLZMbw8rFY4hmGGVUidYk9oiSWK;https://x.com/penjaminiv/status/1969111128274784606;give 8;;File upload error
19/09/2025 19:44;@pmmr777   /   @penjaminiv;9z1CdzDNCeo6ZqK9baLZMbw8rFY4hmGGVUidYk9oiSWK;https://x.com/penjaminiv/status/1967539098488623120;;;
;;;;;;
;;;;;;
;;;;;;
;;9rgxqRtik6K8oqxGzLN8yL232DYv4MiEc6wqgTdB3kMJ;5,00;0,039215686;0,039215686;
;;Diogo;8,00;0,062745098;;
;;9z1CdzDNCeo6ZqK9baLZMbw8rFY4hmGGVUidYk9oiSWK;8,00;0,062745098;;
;;XChvdhC1CHiuoVfreiZHkEzJHMyWV8TR1PZ3VXbaWRJ;3,00;0,023529412;;
;;8jDNkrB5xwERJSYZFdxMNFf8etYEpbnop4dL8tNiU5Mp;5,00;0,039215686;;
;;4EFWAUX7CEXJ5XfiPBKdDGLtMjn48Ew77MfKdSpwPonB;5,00;0,039215686;;
;;32VrJuhdcjJt7QM6GexG4ucbv8WSQ7eKFxdZzcrL5qEX;3,00;0,023529412;;
;;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;1,00;0,007843137;;
;;EZBHVhhQKpxxmQaqKYs8po9PckotcrPknxGWqkb4LHoq;2,00;0,015686275;;
;;DJJDsW1uKqPsoL5zXAGa8KHfsBAXzhfKhhsCuCxF36Dr;2,00;0,015686275;;
;;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;1,00;0,007843137;;
;;CASqmSDbDeXsSvFbzpAEoUd1DcXiDuPEjahM181qTDfp;2,00;0,015686275;;
;;29PmvGkU1ETp3NT3pvFGiFUyBr7tS4iRsCuq3JVC1esD;3,00;0,023529412;;
;;6umnFg3dRF5xNhDz9kXkSPf6vpRBzkB5psU1TTzkMHRT;2,00;0,015686275;;
;;DpqXYZrTe2SRYTHDMos8ej18h6yr4YDcDXKFmA9AX6AJ;1,00;0,007843137;;
;;;51,00;;;
;;;0,007843137;;;
